,name,description,category,price,page_name,loc,Personal_S_Price,Large_S_Price
0,Classic Margherita,"Tomatoes, garlic, oregano.",Pizza,349,PizzaHut,Dhaka,179,639
1,Veggie Lovers,"Capsicum, onions, mushrooms.",Pizza,389,PizzaHut,Dhaka,199,709
2,Classic Beef,With onion and green chilies,Pizza,509,PizzaHut,Dhaka,269,809
3,Ultimate Hot Chicken,"Hot & Spicy Chicken, Onions, Green Chilies",Pizza,509,PizzaHut,Dhaka,269,809
4,Classic Chicken Sausage,"Chicken Sausage, Onions, Green Chilies",Pizza,509,PizzaHut,Dhaka,269,809
5,Chicken Exotica,"Chicken, onions, capsicum, jalapenos.",Pizza,619,PizzaHut,Dhaka,329,1089
6,Spicy Beef.,"Beef, onion, red paprika, jalapenos.",Pizza,619,PizzaHut,Dhaka,329,1089
7,Spicy Chicken.,"Lebanese chicken, mushroom, onion, green chilies.",Pizza,709,PizzaHut,Dhaka,379,1239
8,Beef Lovers.,"Beef, onions, black olives, capsicum.",Pizza,709,PizzaHut,Dhaka,379,1239
9,Veggie Supreme,"Capsicum, onions, mushrooms, tomatoes, sweet corn, black olives.",Pizza,619,PizzaHut,Dhaka,329,1089
10,Double Cheese,Mounds of golden melting cheese on a rich bed of red tomato sauce.,Pizza,619,PizzaHut,Dhaka,329,1089
11,Spicy Kala Bhuna,Spicy Kala Bhuna,Pizza,709,PizzaHut,Dhaka,379,1239
12,BBQ Chicken,"BBQ Chicken, Green Chillies, Sweet Corn",Pizza,709,PizzaHut,Dhaka,379,1239
13,Smoky Grilled Buzz,"Smoked Chicken, Mushroom, Onion and Red Paprika",Pizza,709,PizzaHut,Dhaka,379,1239
14,Beef Pepperoni,"Beef Pepperoni,",Pizza,709,PizzaHut,Dhaka,379,1239
15,Red N Hot.,"Spicy chicken, beef, onions, tomatoes, green chilies",Pizza,819,PizzaHut,Dhaka,429,1359
16,Supreme.,"Spicy chicken, chicken & beef topped with onions, mushrooms, capsicum.",Pizza,819,PizzaHut,Dhaka,429,1359
17,Chicken Supreme.,Chicken Supreme.,Pizza,819,PizzaHut,Dhaka,429,1359
18,Chicken Classic.,"Spicy chicken, tomatoes, onions, capsicum, mushrooms, black olives.",Pizza,819,PizzaHut,Dhaka,429,1359
19,Chicken Delight.,"Lebanese chicken, chicken sausage, capsicum, tomatoes, jalapenos, black olives.",Pizza,819,PizzaHut,Dhaka,429,1359
20,Bbq Temptation .,"Spicy chicken marinated in BBQ sauce, onions, capsicum, tomatoes, green chilies.",Pizza,819,PizzaHut,Dhaka,429,1359
21,Triple Chicken Feast,"Smoked Chicken, Lebanese chicken, spicy chicken.",Pizza,899,PizzaHut,Dhaka,479,1529
22,Bbq Blast,"Spicy chicken marinated in BBQ sauce, chicken sausage, onions, mushrooms, jalapenos.",Pizza,899,PizzaHut,Dhaka,479,1529
23,The Works,"Beef, Beef Pepperoni, Spicy Chicken, Chicken,  Capsicum, Onions, Mushrooms",Pizza,899,PizzaHut,Dhaka,479,1529
